"","ERR1101243","ERR1101244","ERR1101245","ERR1101246","ERR1101247","ERR1101248","ERR1101249","ERR1101250","ERR1101251","ERR1101252","ERR1101253","ERR1101254","ERR1101255","ERR1101256","ERR1101257","ERR1101258","ERR1101259","ERR1101260","ERR1101261","ERR1101262","ERR1101263","ERR1101264","ERR1101265","ERR1101266","ERR1101267","ERR1101268","ERR1101269","ERR1101270","ERR1101271","ERR1101272","ERR1101273","ERR1101274","ERR1101275","ERR1101276","ERR1101277","ERR1101278","ERR1101279","ERR1101280","ERR1101281","ERR1101282","ERR1101283","ERR1101284","ERR1101285","ERR1101286","ERR1101287","ERR1101288","ERR1101289","ERR1101290","ERR1101291","ERR1101292","ERR1101293","ERR1104477","ERR1101294","ERR1101295","ERR1101296","ERR1101297","ERR1101298","ERR1101299","ERR1101300","ERR1101301","ERR1101302","ERR1101303","ERR1101304","ERR1101305","ERR1101306","ERR1101307","ERR1101308","ERR1101309","ERR1101310","ERR1101311","ERR1101312","ERR1101313","ERR1101314","ERR1101315","ERR1101316","ERR1101317","ERR1101318","ERR1101319","ERR1101320","ERR1101321","ERR1101322","ERR1101323","ERR1101324","ERR1101325","ERR1101326","ERR1101327","ERR1101328","ERR1101329","ERR1101330","ERR1101331","ERR1101332","ERR1101333","ERR1101334","ERR1101335","ERR1101336","ERR1101337","ERR1101338","ERR1101339","ERR1101340","ERR1101341","ERR1101342","ERR1101343","ERR1101344","ERR1101345","ERR1101346","ERR1101347","ERR1101348","ERR1101349","ERR1101350","ERR1101351","ERR1101352","ERR1101353","ERR1101354","ERR1101355","ERR1101356","ERR1101357","ERR1101358","ERR1101359","ERR1101360","ERR1101361","ERR1101362","ERR1101363","ERR1101364","ERR1101365","ERR1101366","ERR1101367","ERR1101368","ERR1101369","ERR1101370","ERR1101371","ERR1101372","ERR1101373","ERR1101374","ERR1101375","ERR1101376","ERR1101377","ERR1101378","ERR1101379","ERR1101380","ERR1101381","ERR1101382","ERR1101383","ERR1101384","ERR1101385","ERR1101386","ERR1101387","ERR1101388","ERR1101389","ERR1101390","ERR1101391","ERR1101392","ERR1101393","ERR1101394","ERR1101395","ERR1101396","ERR1101397","ERR1101398","ERR1101399","ERR1101400","ERR1101401","ERR1101402","ERR1101403","ERR1101404","ERR1101405","ERR1101406","ERR1101407","ERR1101408","ERR1101409","ERR1101410","ERR1101411","ERR1101412","ERR1101413","ERR1101414","ERR1101415","ERR1101416","ERR1101417","ERR1101418","ERR1101419","ERR1101420","ERR1101421","ERR1101422","ERR1101423","ERR1101424","ERR1101425","ERR1101426","ERR1101427","ERR1101428","ERR1101429","ERR1101430","ERR1101431","ERR1101432","ERR1101433","ERR1101434","ERR1101435","ERR1101436","ERR1101437","ERR1101438","ERR1101439","ERR1101440","ERR1101441","ERR1101442","ERR1101443","ERR1101444","ERR1101445","ERR1101446","ERR1101447","ERR1101448","ERR1101449","ERR1101450","ERR1101451","ERR1101452","ERR1101453","ERR1101454","ERR1101455","ERR1101456","ERR1101457","ERR1101458","ERR1101459","ERR1101460","ERR1101461","ERR1101462","ERR1101463","ERR1101464","ERR1101465","ERR1101466","ERR1101467","ERR1101468","ERR1101469","ERR1101470","ERR1101471","ERR1101472","ERR1101473","ERR1101474","ERR1101475","ERR1101476","ERR1101477","ERR1101478","ERR1101479","ERR1101480","ERR1101481","ERR1101482","ERR1101483","ERR1101484","ERR1101485","ERR1101486","ERR1101487","ERR1101488","ERR1101489","ERR1101490","ERR1101491","ERR1101492","ERR1101493","ERR1101494","ERR1101495","ERR1101496","ERR1101497","ERR1101498","ERR1101499","ERR1101500","ERR1101501","ERR1101502","ERR1101503","ERR1101504","ERR1101505","ERR1101506","ERR1101507","ERR1101508","ERR1104478","ERR1101509","ERR1101510","ERR1101511","ERR1101512","ERR1101513","ERR1101514","ERR1101515","ERR1101516","ERR1101517","ERR1101518","ERR1101519","ERR1101520","ERR1101521","ERR1101522","ERR1101523","ERR1101524","ERR1101525","ERR1101526","ERR1101527","ERR1101528","ERR1101529","ERR1101530","ERR1101531","ERR1101532","ERR1101533","ERR1101534","ERR1101535","ERR1101536","ERR1101537","ERR1101538","ERR1101539","ERR1101540","ERR1101541","ERR1101542","ERR1101543","ERR1101544","ERR1101545","ERR1101546","ERR1101547","ERR1101548","ERR1101549","ERR1101550","ERR1101551","ERR1101552","ERR1101553","ERR1101554","ERR1101555","ERR1101556","ERR1101557","ERR1101558","ERR1101559","ERR1101560","ERR1101561","ERR1101562","ERR1101563","ERR1101564","ERR1101565","ERR1101566","ERR1101567","ERR1101568","ERR1101569","ERR1101570","ERR1101571","ERR1101572","ERR1101573","ERR1101574","ERR1101575","ERR1101576","ERR1101577","ERR1101578","ERR1101579","ERR1101580","ERR1101581","ERR1101582","ERR1101583","ERR1101584","ERR1101585","ERR1101586","ERR1101587","ERR1101588","ERR1101589","ERR1101590","ERR1101591","ERR1101592","ERR1101593","ERR1101594","ERR1101595","ERR1101596","ERR1101597","ERR1101598","ERR1101599","ERR1101600","ERR1101601","ERR1101602","ERR1101603","ERR1101604","ERR1101605","ERR1101606","ERR1101607","ERR1101608","ERR1101609","ERR1101610","ERR1101611","ERR1101612","ERR1101613","ERR1101614","ERR1101615","ERR1101616","ERR1101617","ERR1101618","ERR1101619","ERR1101620","ERR1101621","ERR1101622","ERR1101623","ERR1101624","ERR1101625","ERR1101626","ERR1101627","ERR1101628"
"142010",107,186,895,1,49,6,36,43,152,14,68,40,4,368,360,0,62,180,212,10,505,332,83,61,71,6,0,617,3,20,69,87,15,47,24,8,3,391,12,87,36,165,10,39,22,22,55,82,181,31,80,80,22,8,59,37,35,32,28,53,68,49,130,30,28,54,79,26,14,153,9,6,22,0,144,0,8,93,0,7,10,11,411,1,376,1,66,194,115,193,210,78,41,180,152,98,99,138,349,19,181,65,157,6,59,36,43,52,123,245,173,168,85,38,153,453,74,283,89,61,0,32,16,156,17,109,2,3,2,0,7,0,2,0,0,0,1,12,3,8,15,1,24,1,17,13,1,1,1,0,0,17,0,2,3,8,0,0,0,0,0,1,1,0,0,0,0,44,0,39,77,18,1,1,0,60,3,103,6,260,1,0,3,0,2,3,3,2,17,5,0,0,17,11,94,105,15,6,3,11,0,65,37,4,6,118,159,119,370,2,18,9,24,8,4,8,2,0,109,10,3,12,8,64,9,2,3,5,2,7,15,1,10,7,23,14,38,1,40,1,276,5,37,126,37,19,3,8,98,3,1,10,16,85,17,102,14,5,14,76,2,5,100,51,10,4,2,2,12,15,13,4,18,224,10,1,6,13,8,17,3,95,328,33,25,22,1,2,9,9,8,9,7,19,36,10,9,0,23,32,4,43,4,1,0,16,18,5,5,10,4,9,2,22,5,3,5,5,1,5,0,29,13,0,0,2,1,1,0,1,3,1,1,1,0,0,0,0,4,0,6,1,0,0,5,21,8,0,3,3,1,7,0,2,0,1,1,1,2,3,3,1,13,6,0,4,0,2,0,0,0,2,1,2,0,9,7,0,3,2,4,5,10,0,22,0,0,1
"592129",3,6,4,1,3,0,1,3,1,3,0,1,0,19,6,0,1,24,8,16,2,1,3,0,0,3,1,0,0,6,3,0,0,0,0,1,1,2,0,8,6,5,2,4,0,0,0,123,3,1,215,215,2,4,18,9,8,10,27,20,37,36,50,19,54,25,35,6,1,39,41,2,31,0,1,0,0,0,0,0,0,0,1,0,10,0,0,6,0,9,0,1,6,7,2,4,6,2,35,1,1,14,17,10,8,2,8,2,1,32,1,5,1,47,0,5,0,46,7,3,0,3,0,1,3,6,3,0,0,1,42,0,0,0,3,1,3,34,1,50,13,1,24,0,0,0,1,0,2,77,0,3,4,0,0,2,3,0,0,1,0,0,0,16,2,9,4,1,1,9,3,6,3,1,18,18,0,0,2,2,0,0,0,0,1,0,0,0,1,1,0,0,2,0,1,3,3,0,5,1,6,44,39,47,32,13,6,3,20,6,99,45,16,5,6,35,14,25,8,45,17,24,26,10,75,11,68,21,13,83,37,12,35,25,9,30,97,33,16,12,19,15,3,13,12,39,59,78,10,34,20,35,29,5,22,153,22,29,25,44,12,6,0,104,17,3,13,13,29,28,12,31,107,17,7,8,35,25,21,15,11,3,12,27,30,54,9,11,16,63,61,25,7,39,90,39,10,9,26,32,20,3,13,16,44,75,16,17,14,117,61,22,57,38,43,68,1,4,30,53,12,2,10,29,6,1,37,1,7,46,57,18,9,51,2,38,5,0,31,1,1,3,7,1,1,9,31,19,33,48,38,34,0,5,5,4,2,32,44,46,33,11,17,9,19,20,10,29,40,44,19,39,23,10,18,109,75,14,16,75,23,31,72,32,299,35,0,32
"831193",1,0,1,1,0,1,1,1,3,5,1,4,2,1,0,4,1,4,1,2,0,5,0,0,4,6,5,4,1,2,1,5,2,0,0,4,7,3,0,2,5,1,1,1,0,1,0,4,0,6,2,2,0,2,0,2,1,1,2,2,1,0,0,6,3,3,7,1,1,1,1,2,1,1,3,1,0,2,0,2,0,1,2,0,3,1,1,2,1,0,3,3,1,3,0,2,3,1,1,2,2,0,1,1,2,0,2,1,0,1,3,0,2,2,0,0,0,3,2,2,0,0,0,1,0,0,1,1,2,0,3,0,1,0,1,1,2,2,1,1,0,2,0,1,3,4,0,3,1,2,0,3,2,3,2,2,6,1,0,4,0,1,3,3,3,2,7,2,1,3,0,1,1,2,3,1,0,0,1,1,1,0,1,1,0,0,0,0,1,0,0,3,1,1,1,2,2,0,5,1,3,54,42,47,3,3,5,4,0,6,155,14,2,9,7,24,4,5,4,14,7,19,9,7,18,4,28,15,14,14,8,6,17,3,6,6,16,4,1,19,6,7,8,1,16,1,9,21,14,8,0,7,16,4,9,1,46,19,9,10,15,13,5,16,11,5,1,1,8,20,6,9,17,6,4,9,16,33,41,13,3,5,3,4,31,34,12,1,1,4,1,13,0,19,26,1,1,9,14,23,0,0,8,10,41,7,10,5,5,12,16,3,14,13,5,4,5,3,15,8,4,1,10,20,4,5,2,4,1,9,31,2,5,18,2,3,3,1,11,3,0,3,2,1,3,2,10,11,15,21,33,40,0,3,1,3,4,9,10,12,36,10,9,4,23,23,2,8,4,22,3,7,30,16,16,12,6,5,19,19,1,24,7,7,10,2,0,31
"4427396",12,5,162,0,0,0,0,16,26,252,19,16,0,0,1,0,0,2,0,38,0,70,78,0,0,0,0,0,4,48,33,0,1,0,2,1,0,1,0,0,0,0,0,1,0,0,0,29,6,0,0,0,0,0,2,1,1,2,0,0,67,7,2,0,21,0,0,0,0,1,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,1,0,0,0,0,2,0,0,0,28,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,39,5,0,77,0,0,0,3,0,0,1,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,3,0,0,0,5,0,0,3,0,1,0,5,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,1,1,3,0,0,0,3,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0
"1082539",1,0,0,0,0,19,5,1,0,6,2,0,0,0,1,1,0,3,0,1,0,1,0,0,0,0,0,1,5,2,2,0,8,0,14,0,0,0,0,0,0,0,1,14,3,2,0,0,2,7,2,2,3,5,0,0,1,0,1,0,0,3,0,0,1,1,1,0,1,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,6,0,4,2,0,1,0,0,0,0,0,1,0,0,1,0,0,3,1,1,0,0,0,13,0,0,2,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,11,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,4,0,9,0,7,1,1,0,0,0,0,0,0,0,1,5,0,1,0,0,0,0,1,2,1,12,4,1,0,0,0,21,2,12,0,1,0,0,0,0,0,9,25,1,4,1,6,2,2,0,0,0,4,1,0,0,1,0,1,1,1,0,2,2,0,0,0,1,4,0,0,0,0,0,0,0,0,5,0,8,17,4,3,5,0,0,4,0,0,0,35,0,0,0,4,19,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,1,0,0,0,29,8,1,0,0,0,0,0
"541661",4,1,1,2,5,2,4,0,2,2,1,0,3,5,6,2,1,6,9,4,2,6,4,5,3,4,7,4,3,3,2,8,4,0,3,6,3,5,2,2,8,4,1,0,0,0,2,6,3,3,1,1,2,6,3,5,4,4,1,4,5,5,2,3,7,5,10,5,3,3,5,1,2,15,14,8,1,3,4,9,6,2,7,2,3,2,1,5,9,4,2,3,2,10,4,6,2,6,2,6,2,8,6,2,6,4,2,0,1,0,2,1,6,6,3,4,5,4,2,0,0,2,2,4,7,4,4,5,1,1,5,4,0,4,0,2,2,1,5,0,2,4,6,5,4,1,2,1,1,2,3,3,2,2,4,1,6,1,2,7,4,2,5,5,2,4,4,10,0,1,7,3,4,8,1,3,1,3,0,0,3,2,4,0,5,4,4,0,2,1,5,4,1,3,7,8,3,1,8,6,2,0,3,4,0,4,2,5,2,5,2,0,1,11,7,1,5,2,3,1,2,0,1,6,4,7,0,4,5,0,1,7,5,10,0,7,3,0,5,1,5,2,2,7,4,1,0,2,1,1,0,0,2,7,0,4,0,2,0,2,1,2,1,5,0,2,3,3,0,1,3,2,0,2,7,2,1,8,1,0,4,7,3,5,2,0,2,0,0,0,0,3,0,12,0,3,0,1,1,3,0,2,50,2,16,5,9,4,4,11,4,0,7,5,4,1,13,4,6,3,9,4,13,2,3,6,1,14,1,9,7,0,1,16,5,16,2,6,17,3,6,5,2,0,2,7,2,4,11,2,19,21,1,4,14,9,12,1,3,2,6,52,22,14,21,6,4,6,8,3,4,9,4,34,9,0,2,4,4,9,2,8,1,8,6,13,2,9
"231447",3,32,15,0,14,0,0,4,9,0,7,8,3,0,26,4,0,2,0,54,2,25,5,1,2,6,4,15,9,17,10,2,3,3,1,4,4,11,0,0,10,1,4,10,5,0,6,16,17,2,4,4,6,5,9,6,5,3,71,3,30,56,1,0,58,22,34,21,0,0,2,1,6,1,0,0,0,2,2,0,0,0,4,2,0,0,1,2,0,14,12,7,6,1,7,9,1,0,0,3,2,0,0,10,0,21,7,8,10,16,27,11,3,4,1,6,0,3,0,0,5,3,0,8,3,4,3,1,0,14,94,1,1,2,7,1,3,73,10,52,32,4,16,7,1,1,8,7,11,2,6,20,6,3,8,19,3,0,1,1,0,2,4,5,1,3,3,2,0,6,4,1,4,0,1,40,0,1,4,6,0,0,1,0,8,3,3,1,0,2,1,0,1,1,2,4,4,0,1,0,2,76,107,103,27,5,7,12,8,12,70,135,0,12,12,30,24,41,20,21,41,43,33,15,109,24,111,39,38,88,90,14,54,32,40,53,157,46,46,18,32,16,44,14,22,115,166,184,50,76,9,54,67,4,75,303,86,115,199,211,23,19,22,152,53,52,31,31,62,50,76,81,188,27,13,13,68,109,57,123,41,11,5,11,96,83,44,79,158,96,121,55,23,100,153,16,21,50,67,123,20,15,3,52,49,20,14,12,37,140,78,122,75,12,61,53,51,43,16,22,30,1,17,44,9,6,114,8,38,20,19,33,37,40,5,17,3,7,45,5,11,5,14,11,1,2,58,10,23,36,22,41,1,2,9,11,20,38,20,42,70,10,12,29,26,13,23,42,36,18,49,9,24,26,63,62,68,34,55,92,22,22,29,11,200,32,2,37
"1559",11,23,19,3,15,0,3,45,23,74,3,10,0,1,43,1,0,241,2,17,1,35,40,0,2,58,0,5,4,41,4,1,0,1,18,1,2,5,0,0,2,2,3,4,2,0,1,45,4,1,12,12,2,3,8,6,6,4,24,9,11,25,47,5,27,10,16,0,2,20,10,0,16,3,0,5,0,0,2,0,1,2,2,0,84,0,0,8,5,5,2,2,2,2,9,4,9,1,13,1,3,9,10,4,3,0,12,2,1,24,4,5,1,41,2,2,2,18,14,2,0,3,3,0,5,2,3,0,1,7,41,1,0,0,2,4,5,13,2,130,40,0,8,0,1,0,0,0,0,11,0,9,8,0,0,13,0,1,0,0,0,0,1,28,3,33,11,2,1,3,2,7,1,2,2,47,0,3,3,2,0,0,0,3,1,0,3,0,14,4,0,2,6,15,3,6,10,27,5,8,27,37,42,28,5,276,58,81,28,4,110,110,376,1,4,17,12,13,12,35,22,23,29,8,45,10,89,21,13,86,30,11,35,22,15,28,63,15,17,16,67,32,10,9,11,117,91,63,16,90,43,30,49,12,52,397,44,33,28,279,18,6,5,121,24,13,17,17,32,23,7,115,141,5,9,9,19,48,43,28,9,6,10,31,50,58,14,21,14,72,87,26,4,44,74,23,11,2,28,74,9,8,7,18,40,28,20,15,14,142,88,39,51,30,33,24,7,2,28,9,14,0,17,25,6,0,21,0,6,32,55,17,9,43,1,22,6,3,40,3,3,7,6,2,1,2,30,4,17,53,33,40,0,3,8,3,5,28,28,32,27,11,7,1,17,12,2,34,16,24,24,12,12,11,41,75,61,8,10,72,8,31,108,6,250,18,2,24
"1078207",1,1,0,1,0,9,3,0,0,11,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,6,4,1,0,0,0,3,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,2,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,0,2,0,0,0,0,0,6,4,3,0,0,0,0,0,0,0,2,6,3,2,5,3,0,1,0,1,2,3,1,0,0,0,1,0,1,0,2,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,2,5,0,0,2,0,0,0,14,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0
"813557",7,10,100,0,3,0,27,229,92,120,1,249,17,5,54,221,0,21,20,62,7,246,217,4,1,1,89,2,8,155,13,19,2,2,1,0,1,37,3,13,12,9,3,11,0,0,1,153,14,2,22,22,9,9,50,42,48,37,34,18,85,91,21,22,29,48,80,6,9,97,13,1,16,0,9,4,0,1,0,15,6,1,16,0,94,1,5,25,5,10,5,3,4,18,6,1,8,4,8,4,9,24,29,0,12,13,9,0,2,23,5,13,4,13,1,27,3,54,21,1,1,3,3,3,3,0,1,0,1,0,13,3,0,0,1,0,4,12,4,40,50,0,25,0,1,2,2,10,1,0,2,146,6,2,1,105,1,0,0,0,0,1,0,2,1,1,0,0,0,30,3,10,7,1,0,215,0,1,2,1,3,0,2,3,0,0,0,1,0,3,2,0,2,1,9,14,5,3,21,17,18,89,33,4,22,128,316,266,150,11,27,92,91,17,4,11,6,7,13,29,10,4,9,3,17,9,41,5,2,19,9,4,10,8,12,5,14,4,5,4,14,5,10,10,5,5,26,17,20,24,1,10,13,2,4,74,0,9,13,38,12,2,12,36,2,5,10,10,15,71,9,18,26,20,0,0,3,16,7,27,9,7,12,13,12,7,5,7,19,24,8,9,33,13,16,61,39,5,21,19,112,18,14,25,4,128,107,20,2,73,16,7,38,156,10,1,2,6,9,16,1,2,7,6,2,16,11,0,0,5,55,6,17,12,30,1,9,0,15,1,8,3,2,5,2,22,3,3,1,8,10,11,1,2,2,3,1,21,16,35,11,9,35,10,8,15,4,7,4,6,7,0,1,6,5,5,36,4,3,4,1,4,63,3,18,3,1,6
"839235",4,52,89,53,24,0,22,3,12,1,52,9,11,1,4,0,4,2,2,3,10,3,47,7,196,76,0,10,3,0,16,12,17,38,102,5,58,13,2,3,3,1,6,3,0,16,2,1,19,13,12,12,202,1,18,10,12,6,6,10,2,6,8,18,4,4,11,6,8,0,1,0,4,41,7,59,4,7,4,14,16,21,53,1,50,103,9,30,15,29,0,53,15,8,12,12,6,15,62,5,11,1,58,54,12,5,3,2,1,8,4,85,14,9,0,3,7,22,13,17,1,2,5,4,3,4,2,6,26,0,0,0,2,7,9,0,113,2,7,0,0,1,7,1,5,6,2,6,8,0,2,4,0,0,3,0,0,1,1,14,1,6,5,1,2,1,74,4,1,0,5,1,7,1,0,29,18,4,3,4,2,28,27,17,4,4,7,1,16,7,3,3,9,7,23,27,10,24,41,44,68,206,422,403,93,7,20,11,19,60,4,175,7,46,32,147,21,292,49,3,45,49,56,60,57,15,11,72,107,2,79,36,61,31,12,1,41,48,29,36,16,78,79,97,88,342,31,384,203,0,13,62,48,120,18,0,1,67,264,727,92,680,154,11,243,169,152,152,16,29,264,0,14,102,76,60,68,3,94,102,109,27,39,134,393,117,105,85,0,37,15,96,0,61,43,0,3,28,47,26,2,15,2,61,81,0,1,0,69,0,1,59,9,2,14,69,179,230,195,2,28,6,114,15,10,0,141,8,36,1,0,53,58,2,25,35,9,6,33,26,9,16,17,23,38,15,229,33,28,0,16,35,1,24,4,10,5,4,10,20,439,6,1,0,5,10,5,29,56,2,4,12,52,10,12,0,0,41,204,1,26,33,1,0,0,0,6,23
"109053",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,4,10,1,6,0,1,0,1,0,1,19,12,0,0,38,4,3,0,2,0,0,1,108,11,2,1,0,0,6,2,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"231844",0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,3,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,1,5,5,2,7,1,2,1,0,0,0,25,2,0,0,0,8,5,2,1,13,2,0,1,1,2,2,0,6,5,3,4,6,5,5,2,0,4,0,8,3,7,5,2,0,11,0,0,0,1,0,0,2,23,2,0,0,7,2,3,5,6,2,0,6,2,1,1,1,1,0,0,2,0,0,1,4,5,4,0,1,3,1,0,10,0,0,1,0,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,2,1,0,0,2,1,0,3,0,1,0,0,14,1,0,0,0,0,6,1,0,0,0,2,0,0,0,4,2,0,2,1,0,0,2,1,6,0,2,4,2,0,3,0,2,0,2,0,1,0,1,0,0,2,0,1,4,2,1,1,5,12,5,4,2,4,0,3,1,0,3,1,0,1,0,0,5
"837574",0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,5,0,10,0,0,7,2,2,2,1,1,5,0,0,1,0,0,0,0,0,1,0,0,0,2,3,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1
